Name,ChallengeRating,XP,ArmorClassType,ArmorClass,Strength,StrengthMod,Dexterity,DexterityMod,Constitution,ConstitutionMod,Intelligence,IntelligenceMod,Wisdom,WidsomMod,Charisma,CharismaMod,HPDice,HP
Adult Red Dragon,17,18000,natural armor,19,27,8,10,0,25,7,16,3,13,1,21,5,19d12 + 133,256
Air Elemental,5,1800,,15,14,2,20,5,14,2,6,-2,10,0,6,-2,12d10 + 24,90
Allosaurus,2,450,natural armor,13,19,4,13,1,17,3,2,-4,12,1,5,-3,6d10 + 18,51
Animated Armor,1,200,natural armor,18,14,2,11,0,13,1,1,-5,3,-4,1,-5,6d8 + 6,33
Ankylosaurus,3,700,natural armor,15,19,4,11,0,15,2,2,-4,12,1,5,-3,8d12 + 16,68
Ape,0,100,,12,16,3,14,2,14,2,6,-2,12,1,7,-2,3d8 + 6,19
Awakened Shrub,0,10,,9,3,-4,8,-1,11,0,10,0,10,0,6,-2,3d6,10
Awakened Tree,2,450,natural armor,13,19,4,6,-2,15,2,10,0,10,0,7,-2,7d12 + 14,59
Axe Beak,0,50,,11,14,2,12,1,12,1,2,-4,10,0,5,-3,3d10 + 3,19
Baboon,0,10,,12,8,-1,14,2,11,0,4,-3,12,1,6,-2,1d6,3
Badger,0,10,,10,4,-3,11,0,12,1,2,-4,12,1,5,-3,1d4 + 1,3
Banshee,4,1100,,12,1,-5,14,2,10,0,12,1,11,0,17,3,13d8,58
Basilisk,3,700,natural armor,15,16,3,8,-1,15,2,2,-4,8,-1,7,-2,8d8 + 16,52
Bat,0,10,,12,2,-4,15,2,8,-1,2,-4,12,1,4,-3,1d4 - 1,1
Black Bear,0,100,natural armor,11,15,2,10,0,14,2,2,-4,12,1,7,-2,3d8 + 6,19
Blink Dog,0,50,,13,12,1,17,3,12,1,10,0,13,1,11,0,4d8 + 4,22
Blood Hawk,0,25,,12,6,-2,14,2,10,0,3,-4,14,2,5,-3,2d6,7
Boar,0,50,natural armor,11,13,1,11,0,12,1,2,-4,9,-1,5,-3,2d8 + 2,11
Brown Bear,1,200,natural armor,11,19,4,10,0,16,3,2,-4,13,1,7,-2,4d10 + 12,34
Bugbear,1,200,hide armor,16,15,2,14,2,13,1,8,-1,11,0,9,-1,5d8 + 5,27
Camel,0,25,,9,16,3,8,-1,14,2,2,-4,8,-1,5,-3,2d10 + 4,15
Cat,0,10,,12,3,-4,15,2,10,0,3,-4,12,1,7,-2,1d4,2
Centaur,2,450,,12,18,4,14,2,14,2,9,-1,13,1,11,0,6d10 + 12,45
Chimera,6,2300,natural armor,14,19,4,11,0,19,4,3,-4,14,2,10,0,12d10 + 48,114
Cockatrice,0,100,,11,6,-2,12,1,12,1,2,-4,13,1,5,-3,6d6 + 6,27
Constrictor Snake,0,50,,12,15,2,14,2,12,1,1,-5,10,0,3,-4,2d10 + 2,13
Crab,0,10,natural armor,11,2,-4,11,0,10,0,1,-5,8,-1,2,-4,1d4,2
Crocodile,0,100,natural armor,12,15,2,10,0,13,1,2,-4,10,0,5,-3,3d10 + 3,19
Cyclops,6,2300,natural armor,14,22,6,11,0,20,5,8,-1,6,-2,10,0,12d12 + 60,138
Death Dog,1,200,,12,15,2,14,2,14,2,3,-4,13,1,6,-2,6d8 + 12,39
Deer,0,10,,13,11,0,16,3,11,0,2,-4,14,2,5,-3,1d8,4
Dire Wolf,1,200,natural armor,14,17,3,15,2,15,2,3,-4,12,1,7,-2,5d10 + 10,37
Doppelganger,3,700,,14,11,0,18,4,14,2,11,0,12,1,14,2,8d8 + 16,52
Draft Horse,0,50,,10,18,4,10,0,12,1,2,-4,11,0,7,-2,3d10 + 3,19
Eagle,0,10,,12,6,-2,15,2,10,0,2,-4,14,2,7,-2,1d6,3
Earth Elemental,5,1800,natural armor,17,20,5,8,-1,20,5,5,-3,10,0,5,-3,12d10 + 60,126
Elephant,4,1100,natural armor,12,22,6,9,-1,17,3,3,-4,11,0,6,-2,8d12 + 24,76
Elk,0,50,,10,16,3,10,0,12,1,2,-4,10,0,6,-2,2d10 + 2,13
Fire Elemental,5,1800,,13,10,0,17,3,16,3,6,-2,10,0,7,-2,12d10 + 36,102
Fire Giant,9,5000,plate,18,25,7,9,-1,23,6,10,0,14,2,13,1,13d12 + 78,162
Flameskull,4,1100,,13,1,-5,17,3,14,2,16,3,10,0,11,0,9d4 + 18,40
Flesh Golem,5,1800,,9,19,4,9,-1,18,4,6,-2,10,0,5,-3,11d8 + 44,93
Flying Snake,0,25,,14,4,-3,18,4,11,0,2,-4,12,1,5,-3,2d4,5
Flying Sword,0,50,natural armor,17,12,1,15,2,11,0,1,-5,5,-3,1,-5,5d6,17
Frog,0,0,,11,1,-5,13,1,8,-1,1,-5,8,-1,3,-4,1d4 - 1,1
Frost Giant,8,3900,patchwork armor,15,23,6,9,-1,21,5,9,-1,10,0,12,1,12d12 + 60,138
Gargoyle,2,450,natural armor,15,15,2,11,0,16,3,6,-2,11,0,7,-2,7d8 + 21,52
Ghost,4,1100,,11,7,-2,13,1,10,0,10,0,12,1,17,3,10d8,45
Ghoul,1,200,,12,13,1,15,2,10,0,7,-2,10,0,6,-2,5d8,22
Giant Ape,7,2900,,12,23,6,14,2,18,4,7,-2,12,1,7,-2,15d12 + 60,157
Giant Badger,0,50,,10,13,1,10,0,15,2,2,-4,12,1,5,-3,2d8 + 4,13
Giant Bat,0,50,,13,15,2,16,3,11,0,2,-4,12,1,6,-2,4d10,22
Giant Boar,2,450,natural armor,12,17,3,10,0,16,3,2,-4,7,-2,5,-3,5d10 + 15,42
Giant Centipede,0,50,natural armor,13,5,-3,14,2,12,1,1,-5,7,-2,3,-4,1d6 + 1,4
Giant Constrictor Snake,2,450,,12,19,4,14,2,12,1,1,-5,10,0,3,-4,8d12 + 8,60
Giant Crab,0,25,natural armor,15,13,1,15,2,11,0,1,-5,9,-1,3,-4,3d8,13
Giant Crocodile,5,1800,natural armor,14,21,5,9,-1,17,3,2,-4,10,0,7,-2,9d12 + 27,85
Giant Eagle,1,200,,13,16,3,17,3,13,1,8,-1,14,2,10,0,4d10 + 4,26
Giant Elk,2,450,natural armor,14,19,4,16,3,14,2,7,-2,14,2,10,0,5d12 + 10,42
Giant Fire Beetle,0,10,natural armor,13,8,-1,10,0,12,1,1,-5,7,-2,3,-4,1d6 + 1,4
Giant Frog,0,50,,11,12,1,13,1,11,0,2,-4,10,0,3,-4,4d8,18
Giant Goat,0,100,natural armor,11,17,3,11,0,12,1,3,-4,12,1,6,-2,3d10 + 3,19
Giant Hyena,1,200,,12,16,3,14,2,14,2,2,-4,12,1,7,-2,6d10 + 12,45
Giant Lizard,0,50,natural armor,12,15,2,12,1,13,1,2,-4,10,0,5,-3,3d10 + 3,19
Giant Octopus,1,200,,11,17,3,13,1,13,1,4,-3,10,0,4,-3,8d10 + 8,52
Giant Owl,0,50,,12,13,1,15,2,12,1,8,-1,13,1,10,0,3d10 + 3,19
Giant Poisonous Snake,0,50,,14,10,0,18,4,13,1,2,-4,10,0,3,-4,2d8 + 2,11
Giant Rat,0,25,,12,7,-2,15,2,11,0,2,-4,10,0,4,-3,2d6,7
Giant Scorpion,3,700,natural armor,15,15,2,13,1,15,2,1,-5,9,-1,3,-4,7d10 + 14,52
